Exam Name,Country,Category,Level,Eligibility,Conducting Body,Exam Month,Mode,Application Fee,Accepted By,Official Website,Career Field
JEE Main,India,Engineering,Undergraduate,12th with PCM,NTA,Jan & Apr,Online,1000 INR,NITs & Engineering Colleges,https://jeemain.nta.nic.in,Engineering & Technology
JEE Advanced,India,Engineering,Undergraduate,JEE Main Qualified,IITs,June,Online,3200 INR,IITs,https://jeeadv.ac.in,Engineering & Technology
BITSAT,India,Engineering,Undergraduate,12th with PCM,BITS Pilani,May,Online,3400 INR,BITS Campuses,Check official website,Engineering & Technology
VITEEE,India,Engineering,Undergraduate,12th with PCM,VIT University,April,Online,1350 INR,VIT Campuses,Check official website,Engineering & Technology
NEET UG,India,Medical,Undergraduate,12th with PCB,NTA,May,Offline,1700 INR,Medical Colleges,https://neet.nta.nic.in,Healthcare & Medicine
AIIMS Entrance,India,Medical,Undergraduate,12th with PCB,AIIMS,May,Online,1500 INR,AIIMS Institutes,Check official website,Healthcare & Medicine
CAT,India,Management,Postgraduate,Bachelor Degree,IIMs,November,Online,2400 INR,IIMs & MBA Colleges,https://iimcat.ac.in,Business & Management
XAT,India,Management,Postgraduate,Bachelor Degree,XLRI,January,Online,2100 INR,XLRI & MBA Colleges,https://xatonline.in,Business & Management
MAT,India,Management,Postgraduate,Bachelor Degree,AIMA,Multiple,Online/Offline,1900 INR,MBA Colleges,https://www.aima.in/mat/,Business & Management
CUET UG,India,General,Undergraduate,12th Pass,NTA,May,Online,800 INR,Central Universities,https://cuet.samarth.ac.in,General Higher Education
GATE,India,Engineering,Postgraduate,Bachelor Degree,IITs/IISc,February,Online,1800 INR,MTech/PSU Jobs,https://gate.iitk.ac.in,Engineering & Technology
UPSC CSE,India,Government,All Levels,Graduate Degree,UPSC,June,Offline,100 INR,Civil Services,Check official website,Government & Public Services
SAT,USA,Undergraduate Admission,Undergraduate,High School Completion,College Board,Multiple,Online,60 USD,US & Global Universities,https://satsuite.collegeboard.org,General Higher Education
ACT,USA,Undergraduate Admission,Undergraduate,High School Completion,ACT Inc.,Multiple,Online,68 USD,US Universities,https://www.act.org,General Higher Education
GRE,USA,Graduate Admission,Postgraduate,Bachelor Degree,ETS,Year-round,Online,220 USD,Global Universities,https://www.ets.org/gre,General Higher Education
GMAT,USA,Management,Postgraduate,Bachelor Degree,GMAC,Year-round,Online,275 USD,Business Schools,https://www.mba.com/exams/gmat-exam,Business & Management
TOEFL,International,English Proficiency,All Levels,,ETS,Year-round,Online,205 USD,Global Universities,https://www.ets.org/toefl,Language & Communication
IELTS,International,English Proficiency,All Levels,,British Council/IDP,Year-round,Online/Offline,17000 INR,UK/Canada/Australia Universities,https://www.ielts.org,Language & Communication
PTE Academic,International,English Proficiency,All Levels,,Pearson,Year-round,Online,180 USD,Global Universities,Check official website,Language & Communication
MCAT,USA,Medical,Postgraduate,Bachelor Degree,AAMC,Multiple,Online,330 USD,Medical Schools USA,Check official website,Healthcare & Medicine
